case,repetition,structure,ns_per_lookup,metadata_bytes,bytes_per_managed_mib,checksum,elapsed_seconds,overlay_reserved_bytes,overlay_rss_bytes,overlay_private_bytes,overlay_shared_bytes,memory_category
random-d100-r256-rs21-gs12,1,memx_sparse,6.093,1249280,2440.0,0xb7a9108205ed60d6,0.3686111700008041,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,1,memx_flat_fallback,3.2005,1052672,2056.0,0xb7a9108205ed60d6,0.3686111700008041,1056768,1048576,1048576,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,flat,2.8799,1052672,2056.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,flat_assume_mapped,2.8698,1052672,2056.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,two_level,3.9548,2105344,4112.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,radix,6.5211,17833984,34832.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,cached_radix,7.1972,17834240,34832.5,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,memx_bounded,4.1967,8192,16.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,memx_bounded_assume_mapped,2.2313,8192,16.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,memx_bounded_trusted,2.1947,8192,16.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,memx_bounded_branchless,2.9476,8200,16.02,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,memx_overlay_checked,3.9048,8192,16.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,memx_overlay_trusted,2.0777,8192,16.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,1,memx_sparse,5.7521,200704,392.0,0x9db2929b7fb88c91,0.2982093249956961,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,flat,2.9253,1052672,2056.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,flat_assume_mapped,3.0384,1052672,2056.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,two_level,3.8531,2105344,4112.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,radix,6.2647,17833984,34832.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,cached_radix,7.3523,17834240,34832.5,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,memx_bounded,4.3178,8192,16.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,memx_bounded_assume_mapped,2.1607,8192,16.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,memx_bounded_trusted,2.1392,8192,16.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,memx_bounded_branchless,2.9199,8200,16.02,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,memx_overlay_checked,4.029,8192,16.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,memx_overlay_trusted,2.1404,8192,16.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,2,memx_sparse,5.7531,200704,392.0,0x9db2929b7fb88c91,0.2980827209976269,1056768,0,0,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,flat,3.8548,1052672,2056.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,flat_assume_mapped,2.928,1052672,2056.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,two_level,4.0361,2105344,4112.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,radix,6.4059,17833984,34832.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,cached_radix,7.6704,17834240,34832.5,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_bounded,4.8595,1056768,2064.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_bounded_assume_mapped,3.5597,1056768,2064.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_bounded_trusted,3.391,1056768,2064.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_bounded_branchless,4.8267,1056776,2064.02,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_overlay_checked,5.3375,1056768,2064.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_overlay_trusted,3.2792,1056768,2064.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_sparse,5.9641,1249280,2440.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,2,memx_flat_fallback,2.8276,1052672,2056.0,0xb7a9108205ed60d6,0.3699186220037518,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,flat,3.0113,1052672,2056.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,flat_assume_mapped,2.8162,1052672,2056.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,two_level,4.0573,2105344,4112.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,radix,6.6042,17833984,34832.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,cached_radix,7.4431,17834240,34832.5,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_bounded,4.7203,1056768,2064.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_bounded_assume_mapped,3.8354,1056768,2064.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_bounded_trusted,3.6729,1056768,2064.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_bounded_branchless,4.6319,1056776,2064.02,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_overlay_checked,4.9455,1056768,2064.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_overlay_trusted,3.3972,1056768,2064.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_sparse,6.1319,1249280,2440.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,3,memx_flat_fallback,2.6784,1052672,2056.0,0xb7a9108205ed60d6,0.36464095499832183,1056768,1048576,1048576,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,flat,2.885,1052672,2056.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,flat_assume_mapped,2.7242,1052672,2056.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,two_level,3.7442,2105344,4112.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,radix,6.4125,17833984,34832.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,cached_radix,7.5522,17834240,34832.5,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,memx_bounded,3.9549,8192,16.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,memx_bounded_assume_mapped,2.254,8192,16.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,memx_bounded_trusted,2.1525,8192,16.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,memx_bounded_branchless,2.9107,8200,16.02,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,memx_overlay_checked,4.1353,8192,16.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,memx_overlay_trusted,2.1085,8192,16.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,3,memx_sparse,5.6161,200704,392.0,0x9db2929b7fb88c91,0.2973447680051322,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,flat,3.1199,1052672,2056.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,flat_assume_mapped,2.8133,1052672,2056.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,two_level,3.8961,2105344,4112.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,radix,6.3448,17833984,34832.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,cached_radix,7.5708,17834240,34832.5,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,memx_bounded,3.8965,8192,16.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,memx_bounded_assume_mapped,2.0785,8192,16.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,memx_bounded_trusted,2.0613,8192,16.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,memx_bounded_branchless,2.9124,8200,16.02,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,memx_overlay_checked,4.7858,8192,16.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,memx_overlay_trusted,2.1844,8192,16.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,4,memx_sparse,5.5292,200704,392.0,0x9db2929b7fb88c91,0.3009637590002967,1056768,0,0,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,flat,2.926,1052672,2056.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,flat_assume_mapped,2.8239,1052672,2056.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,two_level,3.9421,2105344,4112.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,radix,6.5536,17833984,34832.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,cached_radix,7.4543,17834240,34832.5,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_bounded,4.6711,1056768,2064.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_bounded_assume_mapped,4.6575,1056768,2064.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_bounded_trusted,4.1557,1056768,2064.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_bounded_branchless,5.2955,1056776,2064.02,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_overlay_checked,5.1283,1056768,2064.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_overlay_trusted,5.9166,1056768,2064.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_sparse,10.2186,1249280,2440.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,4,memx_flat_fallback,3.4379,1052672,2056.0,0xb7a9108205ed60d6,0.41226658599771326,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,flat,2.8512,1052672,2056.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,flat_assume_mapped,2.7211,1052672,2056.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,two_level,3.7618,2105344,4112.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,radix,6.3767,17833984,34832.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,cached_radix,7.1741,17834240,34832.5,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_bounded,4.6047,1056768,2064.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_bounded_assume_mapped,3.5622,1056768,2064.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_bounded_trusted,3.5663,1056768,2064.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_bounded_branchless,4.543,1056776,2064.02,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_overlay_checked,4.8072,1056768,2064.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_overlay_trusted,3.1847,1056768,2064.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_sparse,5.9274,1249280,2440.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
random-d100-r256-rs21-gs12,5,memx_flat_fallback,2.7214,1052672,2056.0,0xb7a9108205ed60d6,0.3515296429977752,1056768,1048576,1048576,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,flat,2.8269,1052672,2056.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,flat_assume_mapped,2.8431,1052672,2056.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,two_level,3.8006,2105344,4112.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,radix,6.2555,17833984,34832.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,cached_radix,7.1911,17834240,34832.5,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,memx_bounded,4.4319,8192,16.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,memx_bounded_assume_mapped,2.1389,8192,16.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,memx_bounded_trusted,2.021,8192,16.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,memx_bounded_branchless,2.8384,8200,16.02,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,memx_overlay_checked,3.961,8192,16.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,memx_overlay_trusted,2.0788,8192,16.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,5,memx_sparse,5.5767,200704,392.0,0x9db2929b7fb88c91,0.2924590239999816,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,flat,2.8659,1052672,2056.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,flat_assume_mapped,2.777,1052672,2056.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,two_level,3.8368,2105344,4112.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,radix,6.2333,17833984,34832.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,cached_radix,7.2534,17834240,34832.5,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,memx_bounded,3.9066,8192,16.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,memx_bounded_assume_mapped,2.0925,8192,16.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,memx_bounded_trusted,2.0781,8192,16.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,memx_bounded_branchless,2.8227,8200,16.02,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,memx_overlay_checked,3.8841,8192,16.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,memx_overlay_trusted,2.0395,8192,16.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
uniform-d0-r256-rs21-gs12,6,memx_sparse,6.4044,200704,392.0,0x9db2929b7fb88c91,0.29423063000285765,1056768,0,0,0,page_accounted_backing
random-d100-r256-rs21-gs12,6,flat,5.576,1052672,2056.0,0xb7a9108205ed60d6,0.4144228610020946,1056768,1048576,1048576,0,page_accounted_backing
