case,repetition,structure,ns_per_lookup,metadata_bytes,bytes_per_managed_mib,checksum,elapsed_seconds
uniform-d0-r256-rs21-gs12,1,memx_sparse,5.6553,196808,384.39,0x9db2929b7fb88c91,0.332322739996016
uniform-d0-r256-rs21-gs12,2,flat,3.2076,1048608,2048.06,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,flat_assume_mapped,3.1366,1048608,2048.06,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,two_level,4.4432,1052744,2056.14,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,radix,6.9121,1083488,2116.19,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,cached_radix,7.924,1083744,2116.69,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,memx_bounded,5.5382,2248,4.39,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,memx_bounded_assume_mapped,2.2121,2248,4.39,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,memx_bounded_trusted,2.17,2248,4.39,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,memx_bounded_branchless,3.015,2256,4.41,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,memx_overlay_checked,4.4204,2248,4.39,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,memx_overlay_trusted,2.2232,2248,4.39,0x9db2929b7fb88c91,0.32204124200507067
uniform-d0-r256-rs21-gs12,2,memx_sparse,5.4929,196808,384.39,0x9db2929b7fb88c91,0.32204124200507067
random-d100-r256-rs21-gs12,2,flat,3.2465,1048608,2048.06,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,flat_assume_mapped,3.1622,1048608,2048.06,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,two_level,4.1486,1052744,2056.14,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,radix,6.8752,1083488,2116.19,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,cached_radix,8.2415,1083744,2116.69,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_bounded,6.0038,1050824,2052.39,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_bounded_assume_mapped,3.746,1050824,2052.39,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_bounded_trusted,4.0509,1050824,2052.39,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_bounded_branchless,4.9659,1050832,2052.41,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_overlay_checked,5.3204,1050824,2052.39,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_overlay_trusted,3.465,1050824,2052.39,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_sparse,6.2011,1245384,2432.39,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,2,memx_flat_fallback,2.8845,1048776,2048.39,0xb7a9108205ed60d6,0.3876332539948635
random-d100-r256-rs21-gs12,3,flat,2.9629,1048608,2048.06,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,flat_assume_mapped,3.0227,1048608,2048.06,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,two_level,3.9406,1052744,2056.14,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,radix,6.5269,1083488,2116.19,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,cached_radix,7.4527,1083744,2116.69,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_bounded,5.693,1050824,2052.39,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_bounded_assume_mapped,3.7784,1050824,2052.39,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_bounded_trusted,3.5243,1050824,2052.39,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_bounded_branchless,4.6885,1050832,2052.41,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_overlay_checked,5.4025,1050824,2052.39,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_overlay_trusted,3.3501,1050824,2052.39,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_sparse,6.0277,1245384,2432.39,0xb7a9108205ed60d6,0.37360433399589965
random-d100-r256-rs21-gs12,3,memx_flat_fallback,3.0196,1048776,2048.39,0xb7a9108205ed60d6,0.37360433399589965
uniform-d0-r256-rs21-gs12,3,flat,2.9615,1048608,2048.06,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,flat_assume_mapped,2.8833,1048608,2048.06,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,two_level,4.2382,1052744,2056.14,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,radix,7.5132,1083488,2116.19,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,cached_radix,7.7592,1083744,2116.69,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,memx_bounded,5.5702,2248,4.39,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,memx_bounded_assume_mapped,2.243,2248,4.39,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,memx_bounded_trusted,2.1734,2248,4.39,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,memx_bounded_branchless,2.967,2256,4.41,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,memx_overlay_checked,4.3665,2248,4.39,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,memx_overlay_trusted,2.163,2248,4.39,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,3,memx_sparse,5.5469,196808,384.39,0x9db2929b7fb88c91,0.31859234400326386
uniform-d0-r256-rs21-gs12,4,flat,3.0798,1048608,2048.06,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,flat_assume_mapped,2.9946,1048608,2048.06,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,two_level,4.1812,1052744,2056.14,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,radix,6.7285,1083488,2116.19,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,cached_radix,8.2096,1083744,2116.69,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,memx_bounded,5.8298,2248,4.39,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,memx_bounded_assume_mapped,2.3987,2248,4.39,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,memx_bounded_trusted,2.8021,2248,4.39,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,memx_bounded_branchless,4.8532,2256,4.41,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,memx_overlay_checked,7.0127,2248,4.39,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,memx_overlay_trusted,2.381,2248,4.39,0x9db2929b7fb88c91,0.35223303500242764
uniform-d0-r256-rs21-gs12,4,memx_sparse,6.4644,196808,384.39,0x9db2929b7fb88c91,0.35223303500242764
random-d100-r256-rs21-gs12,4,flat,3.313,1048608,2048.06,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,flat_assume_mapped,3.062,1048608,2048.06,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,two_level,4.2723,1052744,2056.14,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,radix,7.3611,1083488,2116.19,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,cached_radix,7.9025,1083744,2116.69,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_bounded,5.8711,1050824,2052.39,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_bounded_assume_mapped,4.07,1050824,2052.39,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_bounded_trusted,3.7186,1050824,2052.39,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_bounded_branchless,4.817,1050832,2052.41,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_overlay_checked,5.6222,1050824,2052.39,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_overlay_trusted,3.6524,1050824,2052.39,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_sparse,6.2772,1245384,2432.39,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,4,memx_flat_fallback,3.0099,1048776,2048.39,0xb7a9108205ed60d6,0.39736388599703787
random-d100-r256-rs21-gs12,5,flat,3.2992,1048608,2048.06,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,flat_assume_mapped,2.9877,1048608,2048.06,0xb7a9108205ed60d6,0.3914742080014548
random-d100-r256-rs21-gs12,5,two_level,4.4834,1052744,2056.14,0xb7a9108205ed60d6,0.3914742080014548
